time,gFx,gFy,gFz,0
22:25:05:459,0.8121,0.0332,0.5945,1.019
22:25:05:461,0.8231,0.0369,0.5766,1.018
22:25:05:463,0.8363,0.0393,0.5627,1.021
22:25:05:465,0.8487,0.0410,0.5522,1.025
22:25:05:467,0.8568,0.0425,0.5434,1.027
22:25:05:469,0.8585,0.0413,0.5324,1.022
22:25:05:470,0.8558,0.0386,0.5187,1.013
22:25:05:473,0.8495,0.0332,0.5009,0.997
22:25:05:475,0.8431,0.0254,0.4806,0.981
22:25:05:476,0.8397,0.0176,0.4642,0.969
22:25:05:482,0.8399,0.0120,0.4537,0.964
22:25:05:485,0.8443,0.0086,0.4474,0.964
22:25:05:486,0.8482,0.0071,0.4420,0.965
22:25:05:488,0.8502,0.0061,0.4339,0.963
22:25:05:489,0.8507,0.0042,0.4239,0.959
22:25:05:491,0.8482,0.0010,0.4117,0.951
22:25:05:493,0.8431,-0.0024,0.3946,0.938
22:25:05:494,0.8372,-0.0078,0.3743,0.924
22:25:05:496,0.8350,-0.0149,0.3563,0.914
22:25:05:497,0.8372,-0.0232,0.3443,0.911
22:25:05:498,0.8424,-0.0296,0.3374,0.913
22:25:05:502,0.8485,-0.0352,0.3316,0.916
22:25:05:503,0.8529,-0.0393,0.3282,0.919
22:25:05:505,0.8556,-0.0432,0.3301,0.922
22:25:05:506,0.8580,-0.0454,0.3338,0.926
22:25:05:510,0.8575,-0.0472,0.3377,0.927
22:25:05:511,0.8548,-0.0501,0.3445,0.927
22:25:05:512,0.8490,-0.0535,0.3526,0.925
22:25:05:514,0.8399,-0.0579,0.3631,0.921
22:25:05:517,0.8319,-0.0625,0.3736,0.918
22:25:05:518,0.8265,-0.0699,0.3814,0.917
22:25:05:520,0.8255,-0.0804,0.3905,0.920
22:25:05:525,0.8280,-0.0916,0.4012,0.928
22:25:05:526,0.8336,-0.1051,0.4085,0.937
22:25:05:526,0.8409,-0.1214,0.4186,0.949
22:25:05:528,0.8504,-0.1373,0.4388,0.968
22:25:05:531,0.8604,-0.1500,0.4608,0.989
22:25:05:532,0.8697,-0.1630,0.4784,1.007
22:25:05:534,0.8785,-0.1761,0.4975,1.025
22:25:05:536,0.8868,-0.1845,0.5160,1.043
22:25:05:538,0.8949,-0.1871,0.5270,1.056
22:25:05:540,0.9010,-0.1879,0.5253,1.060
22:25:05:543,0.9066,-0.1874,0.5185,1.061
22:25:05:545,0.9108,-0.1849,0.5085,1.059
22:25:05:546,0.9135,-0.1832,0.4933,1.054
22:25:05:549,0.9166,-0.1810,0.4757,1.048
22:25:05:550,0.9230,-0.1781,0.4591,1.046
22:25:05:552,0.9333,-0.1754,0.4432,1.047
22:25:05:554,0.9477,-0.1732,0.4229,1.051
22:25:05:556,0.9633,-0.1735,0.3973,1.055
22:25:05:558,0.9806,-0.1761,0.3765,1.063
22:25:05:563,0.9960,-0.1793,0.3548,1.070
22:25:05:565,1.0085,-0.1818,0.3308,1.074
22:25:05:566,1.0192,-0.1869,0.3045,1.076
22:25:05:567,1.0280,-0.1952,0.2712,1.076
22:25:05:568,1.0361,-0.2035,0.2365,1.076
22:25:05:570,1.0393,-0.2081,0.2180,1.076
22:25:05:572,1.0420,-0.2167,0.1740,1.071
22:25:05:574,1.0385,-0.2248,0.1242,1.061
22:25:05:577,1.0329,-0.2326,0.0790,1.052
22:25:05:579,1.0285,-0.2389,0.0440,1.046
22:25:05:580,1.0256,-0.2450,0.0159,1.043
22:25:05:582,1.0254,-0.2516,-0.0080,1.044
22:25:05:584,1.0268,-0.2595,-0.0244,1.047
22:25:05:586,1.0295,-0.2687,-0.0322,1.051
22:25:05:588,1.0337,-0.2768,-0.0324,1.057
22:25:05:590,1.0383,-0.2844,-0.0276,1.063
22:25:05:592,1.0390,-0.2905,-0.0229,1.065
22:25:05:595,1.0332,-0.2951,-0.0227,1.060
22:25:05:597,1.0236,-0.2978,-0.0261,1.052
22:25:05:598,1.0161,-0.2995,-0.0268,1.045
22:25:05:600,1.0158,-0.3000,-0.0175,1.045
22:25:05:602,1.0249,-0.2983,0.0032,1.053
22:25:05:604,1.0388,-0.2961,0.0316,1.067
22:25:05:606,1.0532,-0.2924,0.0638,1.082
22:25:05:608,1.0664,-0.2853,0.0966,1.097
22:25:05:611,1.0771,-0.2744,0.1278,1.108
22:25:05:612,1.0825,-0.2580,0.1706,1.117
